contact_id	cnt_ age_est_min	cnt_ age_est_max	cnt_gender	cnt_home	cnt_work	cnt_school	cnt_transport	cnt_leisure	cnt_otherplace	frequency_multi	phys_contact	duration_multi
20	3	4	M	0	0	1	0	0	0	1	1	5
20	3	4	M	0	0	1	0	0	0	1	1	5
20	11		F	0	0	0	0	1	0	1	1	3
20	3	4	F	0	0	1	0	0	0	1	1	5
20	3	4	M	0	0	1	0	0	0	1	1	5
20	3	4	F	0	0	1	0	0	0	1	1	5
21	1		M	0	0	1	0	0	0	1	1	5
21	2		M	0	0	1	0	0	0	1	1	5
21	3		F	0	0	1	0	0	0	1	1	5
21	70		F	0	0	0	0	1	0	1	1	2
21	4		M	1	0	0	0	0	0	1	1	3
21	41		M	1	0	0	0	0	0	1	1	3
21	40		F	0	0	1	0	0	0	1	1	5
21	6		M	1	0	0	0	0	0	1	1	3
21	1		F	0	0	1	0	0	0	1	1	5
21	30		F	0	0	1	0	0	0	1	1	5
21	40		F	0	0	0	0	0	1	4	1	2
21	30		F	0	0	1	0	0	0	1	1	5
21	2		F	0	0	1	0	0	0	1	1	5
21	3		M	0	0	1	0	0	0	1	1	5
22	3		M	0	0	1	0	0	0	1	1	5
22	45	50	F	0	0	0	0	1	0	4	1	3
22	39		M	1	0	0	0	0	0	1	1	5
22	2		M	1	0	0	0	0	0	1	1	5
22	3		M	0	0	1	0	0	0	1	1	5
22	65	70	M	0	0	0	0	0	1	4	1	2
22	3		F	0	0	1	0	0	0	1	1	5
22	65		M	1	0	0	0	0	0	2	1	3
22	40	45	F	0	0	1	0	0	0	1	1	5
22	3		M	0	0	1	0	0	0	1	1	5
22	35	40	F	0	0	0	0	1	0	5		3
22	3		F	0	0	1	0	0	0	1	1	5
22	35	40	F	0	0	1	0	0	0	1	1	5
22	38		M	1	0	0	0	0	0	1	1	2
22	10		M	1	0	0	0	0	0	1	1	5
22	3		M	0	0	1	0	0	0	1	1	5
23	42		M	1	0	0	1	1	1	1	1	5
23	8		M	0	0	1	0	0	0	1	2	2
23	67		M	1	0	0	0	0	0	1	1	2
23	8		F	0	0	1	0	0	0	1	2	4
23	8		M	0	0	1	0	0	0	1	2	2
23	9		F	0	0	0	0	1	0	2	1	4
23	8		F	0	0	0	0	1	0	2	1	4
23	8		F	0	0	0	0	1	0	2	1	4
23	30		F	0	0	0	0	1	0	2	1	3
23	8		F	0	0	1	0	0	0	1	2	4
23	28		F	1	0	0	0	1	0	1	2	2
23	9		F	0	0	0	0	1	0	2	1	4
23	9		F	0	0	0	0	1	0	2	1	4
23	30	35	F	0	0	1	0	1	1	1	2	1
23	8		M	0	0	1	0	0	0	1	2	2
23	8		F	0	0	1	0	0	0	1	2	4
23	8		F	0	0	1	0	0	0	1	1	5
23	8		F	0	0	1	0	0	0	1	2	4
23	8		F	0	0	0	0	1	0	2	1	4
23	8		F	0	0	1	0	0	0	1	2	4
23	8		F	0	0	1	0	0	0	1	1	5
23	8		F	0	0	1	0	0	0	1	2	4
23	8		M	0	0	1	0	0	0	1	2	2
23	35		F	0	0	1	0	0	0	1	2	5
23	65		F	1	0	0	0	0	0	1	2	3
23	8		F	0	0	0	0	1	0	2	1	4
23	36		F	1	0	0	1	1	1	1	1	5
23	3		F	1	0	0	1	1	1	1	1	5
24	36		M	1	0	0	0	0	0	1	1	4
24	70		F	1	0	0	0	0	0	1	1	2
24	79		M	1	0	0	0	0	0	1		3
24	10		F	1	0	0	0	0	0	1		3
24	60		F	0	0	0	0	1	0	2	1	3
24	6		F	0	0	1	0	0	0	1	1	4
24	5		F	0	0	1	0	0	0	1	1	4
24	37		F	0	0	0	0	1	0	2	2	3
24	33		F	1	0	0	0	0	0	1	1	4
24	6		M	0	0	1	0	0	0	1	1	4
24	65	70	F	0	0	1	0	0	0	1	1	4
24	6		M	0	0	1	0	0	0	1	1	4
25	47		M	1	0	0	0	0	0	1	1	4
25	43		F	1	0	0	0	0	0	1	1	4
25	84		F	1	0	0	0	0	0	1	1	5
25	9		F	1	0	0	0	0	0	1	1	5
26	35	40	F	0	0	0	0	0	1	3	2	3
26	38		M	1	0	0	0	0	0	1	1	5
26	35	40	M	0	0	0	0	0	1	2	2	1
26	70		M	1	0	0	0	0	0	1	2	2
26	27		F	1	0	0	0	0	0	3	1	2
26	33		F	1	0	0	0	0	0	1	1	5
26	35	40	F	0	0	0	0	0	1	5	2	3
26	60		F	1	0	0	0	0	0	1	2	2
26	29		M	1	0	0	0	0	0	1	1	2
27	8		F	0	0	1	0	0	0	1	1	5
27	10		M	0	0	1	0	0	0	1	1	5
27	10		M	0	0	1	0	0	0	1	1	5
27	10		M	0	0	1	0	0	0	1	1	5
27	9		M	0	0	1	0	0	0	1	1	5
27	9		F	0	0	1	0	0	0	1	1	5
27	8		F	0	0	1	0	0	0	1	1	5
27	8		F	0	0	1	0	0	0	1	1	5
27	8		M	0	0	1	0	0	0	1	1	5
27	9		F	0	0	1	0	0	0	1	1	5
27	40		M	0	0	1	0	0	0	1	2	5
27	9		M	0	0	1	0	0	0	1	1	5
27	9		F	0	0	1	0	0	0	1	1	5
27	8		F	0	0	1	0	1	0	1	1	5
27	8		F	0	0	1	0	0	0	1	1	5
27	8		F	0	0	1	0	0	0	1	1	5
28	20	25	F	0	0	0	0	1	0	2	1	4
28	8		F	1	0	0	0	0	0	1	1	5
28	5		F	0	0	1	0	0	0	1	1	5
28	5		F	0	0	1	0	0	0	1	1	5
28	5		F	0	0	1	0	0	0	1	1	5
28	5		M	0	0	1	0	0	0	1	2	5
28	5		M	0	0	1	0	0	0	1	2	5
28	5		F	0	0	1	0	0	0	1	1	
28	5		M	0	0	1	0	0	0	1	2	5
28	5		M	0	0	1	0	0	0	1	1	5
28	5		F	0	0	1	0	0	0	1	1	5
28	5		M	0	0	1	0	0	0	1	2	5
28	5		F	0	0	1	0	0	0	1	1	5
28	5		M	0	0	1	0	0	0	1	1	5
28	5		M	0	0	1	0	0	0	1	2	5
28	5		M	0	0	1	0	0	0	1	1	5
28	5		F	0	0	1	0	0	0	1	1	5
28	41		F	1	0	0	0	0	0	1	1	5
28	30	35	F	0	0	0	0	0	0	1	1	5
28	5		M	0	0	1	0	0	0	1	2	5
28	5		M	0	0	1	0	0	0	1	2	5
28	5		M	0	0	1	0	0	0	1	2	5
28	5		M	0	0	1	0	0	0	1	1	5
28	5		F	0	0	1	0	0	0	1	1	5
28	5		M	0	0	1	0	0	0	1	2	5
28	5		M	0	0	1	0	0	0	1	2	5
28	42		M	1	0	0	0	0	0	1	1	5
28	35	40	F	0	0	0	0	0	0	1	1	5
28	5		F	0	0	1	0	0	0	1	1	5
29	6		M	0	0	1	0	0	0	1	1	4
29	6		F	0	0	1	0	0	0	1	1	4
29	57		M	1	0	0	0	0	0	4	1	4
29	30	40	F	0	0	1	0	0	0	2	1	3
29	2		F	1	0	0	0	0	0	1	1	5
29	2		F	1	0	0	0	0	0	1	1	3
29	7		F	1	0	0	0	0	0	1	1	3
29	39		F	1	0	0	0	0	0	1	1	3
29	6		M	0	0	1	0	0	0	1	1	4
29	6		F	0	0	1	0	0	0	1	1	4
29	25	30	F	0	0	1	0	0	0	1	1	4
29	6		M	0	0	1	0	0	0	1	1	4
29	45	50	F	0	0	1	0	0	0	2	1	2
29	6		F	0	0	1	0	0	0	1	1	4
29	40		M	1	0	0	0	0	0	1	1	3
29	25	30	F	0	0	1	0	0	0	3	2	1
29	6		M	0	0	1	0	0	0	1	1	4
29	6		F	0	0	1	0	0	0	1	1	4
29	73		M	1	0	0	0	0	0	1	1	3
29	73		M	1	0	0	0	0	0	1	1	3
29	6		M	0	0	1	0	0	0	1	1	4
29	6		M	0	0	1	0	0	0	1	1	4
29	6		F	0	0	1	0	0	0	1	1	4
29	6		F	0	0	1	0	0	0	1	1	4
29	39		F	1	0	0	0	0	0	1	1	5
29	25	30	F	0	0	1	0	0	0	1	1	2
29	6		F	0	0	1	0	0	0	1	1	4
29	40		M	1	0	0	0	0	0	1	1	5
29	6		M	0	0	1	0	0	0	1	1	4
29	7		M	1	0	0	0	0	0	1	1	3
30	8		M	0	0	1	0	0	0	1	1	4
30	8		M	0	0	1	0	0	0	1	1	3
30	75		M	1	0	0	0	0	0	1	1	4
30	41		F	1	0	0	0	0	0	1	1	2
30	40	45	F	0	0	0	0	1	0	2	2	3
30	8		M	0	0	0	0	1	0	2	1	3
30	6		M	1	0	0	0	0	0	1	1	4
30	8		M	0	0	1	0	0	0	1	1	3
30	32		F	0	0	1	0	0	0	1	1	3
30	55	60	F	1	0	0	0	0	0	4	1	2
30	8		M	0	0	1	0	0	0	1	1	2
30	41		M	1	0	0	0	0	0	1	1	2
30	8		F	0	0	0	0	1	0	2	2	3
30	8		M	0	0	0	0	1	0	2	1	3
30	1		F	1	0	0	0	0	0	5	1	2
30	8		M	0	0	1	0	0	0	1	1	3
30	25	30	F	0	0	1	0	0	0	1	1	3
30	65		F	1	0	0	0	0	0	1	1	5
30	82		F	1	0	0	0	0	0	1	1	2
30	38		F	1	0	0	0	0	0	2	1	4
30	8		F	0	0	0	0	1	0	2	1	3
30	8		F	0	0	1	0	0	0	1	1	4
30	50	60	F	0	0	1	0	0	0	1	2	4
31	85		F	1	0	0	0	0	0	2	1	2
31	12		F	0	0	1	0	0	0	1	1	5
31	36		M	0	0	1	0	0	0	1	1	5
31	9		F	0	0	1	0	0	0	1	1	5
31	28		F	0	0	1	0	0	0	1	1	4
31	9		M	0	0	1	0	0	0	1	1	5
31	85		M	0	0	0	0	0	1	2	2	3
31	35		F	0	0	1	0	0	0	2	1	3
31	9		F	0	0	1	0	0	0	1	1	5
31	40		M	0	0	1	0	0	0	1	1	5
31	9		F	0	0	1	0	0	0	1	2	5
31	12		M	0	0	1	0	0	0	1	1	5
31	22		F	1	0	0	0	0	0	3	1	3
31	25		M	0	0	1	0	0	0	2	2	3
31	9		F	0	0	1	0	0	0	1	1	5
31	9		M	0	0	1	0	0	0	1	1	5
31	41		M	1	0	0	0	0	0	1	1	3
31	9		M	0	0	1	0	0	0	1	2	5
31	73		F	0	0	0	0	0	1	2	1	3
31	58		M	0	0	1	0	0	0	2	1	3
31	9		F	0	0	1	0	0	0	1	1	5
31	9		M	0	0	1	0	0	0	1	2	5
31	9		F	0	0	1	0	0	0	1	1	5
31	9		F	0	0	1	0	0	0	1	1	5
31	12		M	1	0	0	0	0	0	1	1	3
31	12		F	0	0	1	0	0	0	1	1	5
31	26		M	1	0	0	0	0	0	3	1	3
31	9		F	0	0	1	0	0	0	1	1	5
31	75		M	0	0	0	0	0	1	2	1	3
31	9		F	0	0	1	0	0	0	1	1	5
31	41		F	1	0	0	0	0	0	1	1	3
31	9		F	0	0	1	0	0	0	1	1	5
31	74		F	0	0	0	0	0	1	2	1	3
31	9		M	0	0	1	0	0	0	1	1	5
31	9		M	0	0	1	0	0	0	1	2	5
32	4	6	M	0	0	1	0	1	0	1	1	5
32	25	45	F	0	0	1	0	0	0	1	1	5
33	45	50	F	0	0	1	0	0	0	1	2	4
33	6	8	M	0	0	0	0	0	1	1	1	3
33	35	40		0	0	0	0	1	0	1	2	3
33	6	9	M	0	0	1	0	0	0	1	2	4
33	6		M	0	0	1	0	0	0	1	2	4
34	3		F	0	0	1	0	0	0	1	1	5
34	3		M	0	0	1	0	0	0	1	1	5
34	3		M	0	0	1	0	0	0	1	1	5
34	3		M	0	0	1	0	0	0	1	1	5
34	3		M	0	0	1	0	0	0	1	1	5
34	3		F	0	0	1	0	0	0	1	1	5
34	40		F	1	0	0	0	0	0	1	1	5
34	3		F	0	0	1	0	0	0	1	1	5
34	3		F	0	0	1	0	0	0	1	1	5
34	3		F	0	0	1	0	0	0	1	1	5
34	3		F	0	0	1	0	0	0	1	1	5
34	3		M	0	0	1	0	0	0	1	1	5
34	3		M	0	0	1	0	0	0	1	1	5
34	3		M	0	0	1	0	0	0	1	1	5
34	14		M	1	0	0	0	0	0	1	1	4
34	58		F	0	0	1	0	0	0	1	1	5
34	40		F	0	0	1	0	0	0	1	1	5
34	3		F	0	0	1	0	0	0	1	1	5
34	3		M	0	0	1	0	0	0	1	1	5
35	33		M	1	0	0	0	0	0	1	1	4
35	61		F	1	0	0	0	1	0	1	1	3
35	29		F	1	0	0	0	0	0	1	1	5
35	55		F	1	0	0	0	0	0	1	1	5
35	1	2	M	0	0	1	0	0	0	1	1	4
35	68		M	1	0	0	0	1	0	1	1	2
35	22		F	1	0	0	0	0	0	3	1	3
35	1	2	F	0	0	1	0	0	0	1	1	4
35	1	2	M	0	0	1	0	0	0	1	1	4
35	34	40	F	0	0	1	0	0	0	1	1	4
